orden_id;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor
26201PE28B;54003;Abrego;Norte de santander
21099PS33A;52210;Contadero;Nariño
31448PE28A;52323;Gualmatan;Nariño
110774PG87B;5001;Medellin;Antioquia
91107PN89D;11001;Bogota d.c.;Bogota d.c.
31916PS76A;52490;Olaya herrera;Nariño
72791PQ92A;5002;Abejorral;Antioquia
93016PG31A;17001;Manizales;Caldas
79815PR98A;99001;Puerto carreño;Vichada
81686PJ64A;52411;Linares;Nariño
65509PO47A;81001;Arauca;Arauca
112067PG87A;47001;Santa marta;Magdalena
63256PI55A;54001;Cucuta;Norte de santander
51310PL86A;66001;Pereira;Risaralda
111020PM58A;50006;Acacias;Meta
67528PP98A;85001;Yopal;Casanare
93053PQ54A;27001;Quibdo;Choco
76665PG26A;66001;Pereira;Risaralda
12322PP86A;81001;Arauca;Arauca
78519PN60A;63001;Armenia;Quindio
61244PE88A;52210;Contadero;Nariño
34694PM53A;52203;Colon;Nariño
110321PA81A;17001;Manizales;Caldas
107282PG22B;5004;Abriaqui;Antioquia
102742PR31A;70001;Sincelejo;Sucre
137PT44A;52323;Gualmatan;Nariño
16167PT45A;97001;Mitu;Vaupes
63039PP19A;52207;Consaca;Nariño
15516PC78A;17001;Manizales;Caldas
99127PM28A;88001;San andres;San andres
109996PI67A;76001;Cali;Valle del cauca
63877PC35A;66001;Pereira;Risaralda
47724PJ12B;66001;Pereira;Risaralda
91787PH75A;17001;Manizales;Caldas
104243PJ70A;50683;San juan de arama;Meta
60258PC19A;20001;Valledupar;Cesar
48621PE79A;52210;Contadero;Nariño
40258PK29A;50686;San juanito;Meta
37166PP29A;54003;Abrego;Norte de santander
86505PH36A;70001;Sincelejo;Sucre
64182PE62E;17001;Manizales;Caldas
10200PA14A;52079;Barbacoas;Nariño
94987PM94A;52411;Linares;Nariño
38283PF73A;52385;La llanada;Nariño
85097PR90A;52381;La florida;Nariño
18052PM71A;52480;Nariño;Nariño
56550PL21A;50001;Villavicencio;Meta
23525PJ14A;52381;La florida;Nariño
80535PT25A;19001;Popayan;Cauca
56584PG77A;52323;Gualmatan;Nariño
105299PP14A;52323;Gualmatan;Nariño
109704PA27A;54001;Cucuta;Norte de santander
62890PI65A;63001;Armenia;Quindio
33861PA42A;85001;Yopal;Casanare
69212PC10A;91001;Leticia;Amazonas
11303PD23A;5001;Medellin;Antioquia
78146PI30A;50001;Villavicencio;Meta
65894PG65A;52356;Ipiales;Nariño
97PH88A;17001;Manizales;Caldas
43084PO11A;52323;Gualmatan;Nariño
71805PJ23A;85001;Yopal;Casanare
79852PF34A;17001;Manizales;Caldas
12732PC71A;5002;Abejorral;Antioquia
1395PB80A;52385;La llanada;Nariño
52235PL93A;52079;Barbacoas;Nariño
23408PK13A;5001;Medellin;Antioquia
48847PF82A;17001;Manizales;Caldas
62834PR10A;25001;Agua de dios;Cundinamarca
41057PE96A;52427;Magui;Nariño
66239PM98B;52490;Olaya herrera;Nariño
50215PL35A;52203;Colon;Nariño
67957PR51A;95001;San jose del guaviare;Guaviare
35002PL30A;52473;Mosquera;Nariño
72152PR46A;94001;Inirida;Guainia
43729PL24A;52411;Linares;Nariño
66477PR71A;66001;Pereira;Risaralda
82145PA79A;23001;Monteria;Cordoba
30495PS21A;20001;Valledupar;Cesar
105852PJ10A;47001;Santa marta;Magdalena
24690PT35A;52473;Mosquera;Nariño
95173PA73B;70001;Sincelejo;Sucre
104379PN31A;17001;Manizales;Caldas
14247PP24A;52079;Barbacoas;Nariño
112119PJ67A;52480;Nariño;Nariño
26706PL31A;70001;Sincelejo;Sucre
64883PK54A;54003;Abrego;Norte de santander
63821PB40A;81001;Arauca;Arauca
34871PD10A;50006;Acacias;Meta
41814PR23B;5002;Abejorral;Antioquia
48159PT27A;50006;Acacias;Meta
43708PB53A;52378;La cruz;Nariño
94476PD42A;97001;Mitu;Vaupes
15160PI49A;50686;San juanito;Meta
107184PH38B;66001;Pereira;Risaralda
15407PJ48B;13001;Cartagena;Bolivar
27159PK25A;52385;La llanada;Nariño
47921PE41A;5002;Abejorral;Antioquia
50566PF70A;52323;Gualmatan;Nariño
105549PI86A;70001;Sincelejo;Sucre
59226PP36A;52385;La llanada;Nariño
90032PH18A;52411;Linares;Nariño
72920PT67A;52356;Ipiales;Nariño
6426PQ88A;19001;Popayan;Cauca
33123PE43A;95001;San jose del guaviare;Guaviare
72731PL53A;94001;Inirida;Guainia
11371PM57A;91001;Leticia;Amazonas
72725PD93A;52203;Colon;Nariño
1970PT32A;17001;Manizales;Caldas
68344PG30A;66001;Pereira;Risaralda
29480PG75A;52203;Colon;Nariño
56060PI68A;44001;Riohacha;La guajira
82588PQ78B;66001;Pereira;Risaralda
51566PR85A;95001;San jose del guaviare;Guaviare
50439PL50B;52480;Nariño;Nariño
37796PA31A;52399;La union;Nariño
83093PF28B;52356;Ipiales;Nariño
24351PF55A;52435;Mallama;Nariño
83485PK76A;13006;Achi;Bolivar
5157PB66B;52079;Barbacoas;Nariño
13233PM52A;52378;La cruz;Nariño
105590PE28A;13001;Cartagena;Bolivar
256PO77A;17001;Manizales;Caldas
28509PQ32A;52565;Providencia;Nariño
37768PH12A;52323;Gualmatan;Nariño
78207PF67A;66001;Pereira;Risaralda
65897PD31A;23001;Monteria;Cordoba
71413PP90A;50686;San juanito;Meta
60795PR11A;52385;La llanada;Nariño
34148PD97A;52473;Mosquera;Nariño
20789PN49A;81001;Arauca;Arauca
70188PH87A;50686;San juanito;Meta
23994PK78A;11001;Bogota d.c.;Bogota d.c.
17329PJ39A;52207;Consaca;Nariño
75743PJ54A;52240;Chachagui;Nariño
93036PG42A;97001;Mitu;Vaupes
60891PL45A;52203;Colon;Nariño
18388PO68A;8001;Barranquilla;Atlantico
108992PQ35A;50686;San juanito;Meta
98608PR26A;91001;Leticia;Amazonas
89682PA17A;54003;Abrego;Norte de santander
80883PT45G;91001;Leticia;Amazonas
20574PC56A;50683;San juan de arama;Meta
6261PM54E;52480;Nariño;Nariño
94589PE67A;52079;Barbacoas;Nariño
88537PA20A;54003;Abrego;Norte de santander
21453PE43A;52203;Colon;Nariño
55753PJ61A;85001;Yopal;Casanare
6293PQ99A;44001;Riohacha;La guajira
26223PB50A;23001;Monteria;Cordoba
44994PJ40A;5002;Abejorral;Antioquia
94054PL41A;68001;Bucaramanga;Santander
76966PA28A;50001;Villavicencio;Meta
26511PN10B;44001;Riohacha;La guajira
37873PJ31A;19001;Popayan;Cauca
3PB23A;76001;Cali;Valle del cauca
104128PT73A;85001;Yopal;Casanare
108465PT19A;8001;Barranquilla;Atlantico
75148PR59C;97001;Mitu;Vaupes
107684PR46A;8001;Barranquilla;Atlantico
67217PR47A;52356;Ipiales;Nariño
67621PM63A;52480;Nariño;Nariño
16480PK38D;70001;Sincelejo;Sucre
57192PJ49A;52540;Policarpa;Nariño
111324PQ43A;27001;Quibdo;Choco
31617PD65A;50683;San juan de arama;Meta
107329PL67A;52051;Arboleda;Nariño
106559PN43B;52381;La florida;Nariño
84194PI42A;52203;Colon;Nariño
101527PD16A;52435;Mallama;Nariño
83608PT67A;94001;Inirida;Guainia
90069PG31A;17001;Manizales;Caldas
45758PR75A;17001;Manizales;Caldas
67213PK85B;52110;Buesaco;Nariño
76990PC48A;52565;Providencia;Nariño
45375PO55A;47001;Santa marta;Magdalena
44404PQ39A;52411;Linares;Nariño
79175PL49A;11001;Bogota d.c.;Bogota d.c.
57722PC61A;81001;Arauca;Arauca
43926PJ99A;50686;San juanito;Meta
107090PE12A;52110;Buesaco;Nariño
36913PS25A;27001;Quibdo;Choco
106099PG95A;95001;San jose del guaviare;Guaviare
74729PE71A;94001;Inirida;Guainia
49154PK93A;52405;Leiva;Nariño
39129PG40A;97001;Mitu;Vaupes
108628PA37A;20001;Valledupar;Cesar
46301PH87A;94001;Inirida;Guainia
59855PH22A;52480;Nariño;Nariño
55995PN44A;52405;Leiva;Nariño
94260PJ81A;25001;Agua de dios;Cundinamarca
12835PQ23A;52207;Consaca;Nariño
55119PL84A;52473;Mosquera;Nariño
75581PF95A;70001;Sincelejo;Sucre
29126PR74A;91001;Leticia;Amazonas
27313PK53A;52203;Colon;Nariño
106912PL70A;17001;Manizales;Caldas
69280PK41A;52427;Magui;Nariño
92980PJ18A;91001;Leticia;Amazonas
86014PN30A;50001;Villavicencio;Meta
34931PT39B;52323;Gualmatan;Nariño
62804PD18A;8001;Barranquilla;Atlantico
27003PR42B;8001;Barranquilla;Atlantico
4357PQ41A;70001;Sincelejo;Sucre
90406PA85A;17001;Manizales;Caldas
57167PO67A;95001;San jose del guaviare;Guaviare
95443PQ40A;19001;Popayan;Cauca
109262PM32A;94001;Inirida;Guainia
107407PN99A;19001;Popayan;Cauca
49944PA15A;52540;Policarpa;Nariño
14034PH96A;50001;Villavicencio;Meta
110124PO50A;52203;Colon;Nariño
34990PD32A;52203;Colon;Nariño
110005PA12A;54003;Abrego;Norte de santander
21284PB36A;11001;Bogota d.c.;Bogota d.c.
85821PK78A;76001;Cali;Valle del cauca
48518PB83A;73001;Ibague;Tolima
87680PT34A;52480;Nariño;Nariño
66748PQ97B;66001;Pereira;Risaralda
55095PN76A;17001;Manizales;Caldas
60616PM42A;76001;Cali;Valle del cauca
4696PR37A;11001;Bogota d.c.;Bogota d.c.
71087PJ96A;52051;Arboleda;Nariño
90250PP78A;52001;Pasto;Nariño
80975PT18A;50001;Villavicencio;Meta
23569PS72A;76001;Cali;Valle del cauca
64564PT67B;50686;San juanito;Meta
12779PA15A;50006;Acacias;Meta
48333PP58A;13006;Achi;Bolivar
78613PT35A;11001;Bogota d.c.;Bogota d.c.
98887PL89A;76001;Cali;Valle del cauca
30537PS10A;85001;Yopal;Casanare
99665PD39A;52323;Gualmatan;Nariño
69288PM63B;50683;San juan de arama;Meta
81473PG32B;76001;Cali;Valle del cauca
29673PK22A;52411;Linares;Nariño
103625PB61A;54001;Cucuta;Norte de santander
4161PP97A;70001;Sincelejo;Sucre
18730PN67A;8001;Barranquilla;Atlantico
65140PQ37C;52323;Gualmatan;Nariño
72450PM83A;66001;Pereira;Risaralda
8717PI41A;5002;Abejorral;Antioquia
110498PA56A;17001;Manizales;Caldas
98028PA47A;23001;Monteria;Cordoba
14981PK76A;27006;Acandi;Choco
95754PC18A;52323;Gualmatan;Nariño
51898PC91A;52356;Ipiales;Nariño
110473PO41A;52001;Pasto;Nariño
32377PD45A;66001;Pereira;Risaralda
41593PJ94A;66001;Pereira;Risaralda
63042PT41A;52565;Providencia;Nariño
8576PA53A;50001;Villavicencio;Meta
101325PQ88A;52540;Policarpa;Nariño
64768PS80A;13006;Achi;Bolivar
5299PD10A;50683;San juan de arama;Meta
52409PD13A;54001;Cucuta;Norte de santander
40169PI11A;52378;La cruz;Nariño
35617PA70A;23001;Monteria;Cordoba
54168PA29A;52051;Arboleda;Nariño
54679PN61A;66001;Pereira;Risaralda
100285PL47A;52323;Gualmatan;Nariño
29916PJ15A;25001;Agua de dios;Cundinamarca
73880PT67A;52565;Providencia;Nariño
29119PF81A;52051;Arboleda;Nariño
72996PN84A;19001;Popayan;Cauca
58327PA81A;52390;La tola;Nariño
40982PJ48A;52565;Providencia;Nariño
834PB86A;54003;Abrego;Norte de santander
58170PF25A;68001;Bucaramanga;Santander
100034PN39A;52207;Consaca;Nariño
77118PI20A;73001;Ibague;Tolima
85794PM54A;52323;Gualmatan;Nariño
107636PS55A;25001;Agua de dios;Cundinamarca
98614PJ51A;50006;Acacias;Meta
46455PH56A;52210;Contadero;Nariño
14323PF54B;52356;Ipiales;Nariño
15632PA90A;76001;Cali;Valle del cauca
103418PA20B;52210;Contadero;Nariño
29385PC15A;50001;Villavicencio;Meta
68561PP14A;8001;Barranquilla;Atlantico
89473PT40A;81001;Arauca;Arauca
97623PL86A;11001;Bogota d.c.;Bogota d.c.
21987PB65B;18001;Florencia;Caqueta
44711PR40A;18001;Florencia;Caqueta
4796PN25B;44001;Riohacha;La guajira
94690PJ70A;23001;Monteria;Cordoba
23240PP75A;68001;Bucaramanga;Santander
97143PG27A;18001;Florencia;Caqueta
23388PQ64A;17001;Manizales;Caldas
15287PQ77A;52323;Gualmatan;Nariño
42356PQ69A;44001;Riohacha;La guajira
106178PK49A;52356;Ipiales;Nariño
111277PA29B;52323;Gualmatan;Nariño
24823PJ55A;50001;Villavicencio;Meta
10689PI61A;52323;Gualmatan;Nariño
38068PH21A;5002;Abejorral;Antioquia
9958PI40B;50001;Villavicencio;Meta
91536PN61A;54001;Cucuta;Norte de santander
67556PS20A;52210;Contadero;Nariño
64084PI70A;52480;Nariño;Nariño
41564PI66B;70001;Sincelejo;Sucre
74571PD15A;52405;Leiva;Nariño
66416PI87A;70001;Sincelejo;Sucre
99767PJ69A;76001;Cali;Valle del cauca
36285PN89A;52480;Nariño;Nariño
23312PM38A;52473;Mosquera;Nariño
46507PK19A;52520;Francisco pizarro;Nariño
48763PQ41A;52565;Providencia;Nariño
5563PM59A;52435;Mallama;Nariño
44121PF33A;52520;Francisco pizarro;Nariño
79548PL60A;94001;Inirida;Guainia
103821PG27C;97001;Mitu;Vaupes
61628PT47A;52405;Leiva;Nariño
94434PK59B;52210;Contadero;Nariño
112091PT43A;86001;Mocoa;Putumayo
67505PB87A;50001;Villavicencio;Meta
20974PP38A;52480;Nariño;Nariño
64604PC93B;66001;Pereira;Risaralda
31863PO28A;52405;Leiva;Nariño
112259PL45A;85001;Yopal;Casanare
70643PP80A;52378;La cruz;Nariño
81468PR43D;52435;Mallama;Nariño
74161PD97A;52390;La tola;Nariño
20798PD95A;52480;Nariño;Nariño
106239PH13A;52323;Gualmatan;Nariño
109888PK80A;18001;Florencia;Caqueta
28319PN83A;50001;Villavicencio;Meta
53218PS14B;52565;Providencia;Nariño
50843PS78C;25001;Agua de dios;Cundinamarca
58982PT67A;52323;Gualmatan;Nariño
39672PD45A;17001;Manizales;Caldas
2586PD68A;13006;Achi;Bolivar
58587PM45A;23001;Monteria;Cordoba
103077PN29A;73001;Ibague;Tolima
75052PF60A;19001;Popayan;Cauca
67758PJ97A;50006;Acacias;Meta
29566PP96A;52565;Providencia;Nariño
40233PQ67A;52323;Gualmatan;Nariño
79914PC77A;19001;Popayan;Cauca
36501PP10A;52207;Consaca;Nariño
2743PB79A;5001;Medellin;Antioquia
71569PL27A;52323;Gualmatan;Nariño
45127PN24B;5001;Medellin;Antioquia
60548PI98A;50001;Villavicencio;Meta
95453PE51A;52565;Providencia;Nariño
85030PL23C;52565;Providencia;Nariño
8524PM92A;50683;San juan de arama;Meta
12338PR84A;52354;Imues;Nariño
6539PT44A;8001;Barranquilla;Atlantico
3940PO63A;70001;Sincelejo;Sucre
19820PQ92A;52323;Gualmatan;Nariño
1997PR76A;50686;San juanito;Meta
103471PO99A;52356;Ipiales;Nariño
8547PJ61A;66001;Pereira;Risaralda
29101PJ29A;76001;Cali;Valle del cauca
79706PO69A;17001;Manizales;Caldas
50237PQ63A;52210;Contadero;Nariño
97455PR29A;97001;Mitu;Vaupes
59287PO80A;50683;San juan de arama;Meta
72836PF64A;52323;Gualmatan;Nariño
1701PM40A;52323;Gualmatan;Nariño
54543PQ81A;52001;Pasto;Nariño
109152PJ84A;11001;Bogota d.c.;Bogota d.c.
20132PE32A;52323;Gualmatan;Nariño
70450PC38A;52001;Pasto;Nariño
71969PG13E;52210;Contadero;Nariño
56007PB27A;70001;Sincelejo;Sucre
91393PN55A;50001;Villavicencio;Meta
47870PN38A;52490;Olaya herrera;Nariño
11946PH20B;52323;Gualmatan;Nariño
83171PM46B;54003;Abrego;Norte de santander
6692PH45A;54001;Cucuta;Norte de santander
75212PE61A;52385;La llanada;Nariño
60054PQ42A;70001;Sincelejo;Sucre
48225PN33A;23001;Monteria;Cordoba
111115PN67A;50001;Villavicencio;Meta
66290PJ93A;52390;La tola;Nariño
99145PO93A;52210;Contadero;Nariño
94350PO44A;66001;Pereira;Risaralda
19619PT64A;94001;Inirida;Guainia
103208PN68A;15001;Tunja;Boyaca
19766PI40A;52381;La florida;Nariño
33622PO47A;50683;San juan de arama;Meta
83302PM46A;54001;Cucuta;Norte de santander
87598PT26A;99001;Puerto carreño;Vichada
79726PD22A;54003;Abrego;Norte de santander
1665PK80A;52565;Providencia;Nariño
48788PR22A;68001;Bucaramanga;Santander
92040PI89A;47001;Santa marta;Magdalena
105799PE40B;54003;Abrego;Norte de santander
99902PF27D;54003;Abrego;Norte de santander
28418PJ27A;50001;Villavicencio;Meta
57847PI80A;52051;Arboleda;Nariño
46477PT73A;52411;Linares;Nariño
69031PA30A;54003;Abrego;Norte de santander
52673PR60A;76001;Cali;Valle del cauca
37902PM26B;70001;Sincelejo;Sucre
35111PP77A;17001;Manizales;Caldas
81440PA46A;70001;Sincelejo;Sucre
58726PM22A;85001;Yopal;Casanare
96484PK24A;50001;Villavicencio;Meta
3148PD13A;19001;Popayan;Cauca
38942PH17A;17001;Manizales;Caldas
66350PC67A;17001;Manizales;Caldas
57428PL63A;52323;Gualmatan;Nariño
80684PQ66A;52381;La florida;Nariño
52270PI78A;18001;Florencia;Caqueta
87859PE50A;94001;Inirida;Guainia
87136PL63A;70001;Sincelejo;Sucre
97736PO13A;5002;Abejorral;Antioquia
23367PB56A;95001;San jose del guaviare;Guaviare
37488PP76A;5001;Medellin;Antioquia
4932PP96B;17001;Manizales;Caldas
7696PF57A;44001;Riohacha;La guajira
98749PB77A;5001;Medellin;Antioquia
88106PK11A;52051;Arboleda;Nariño
108820PH54B;52323;Gualmatan;Nariño
92671PK39A;76001;Cali;Valle del cauca
92582PR21A;91001;Leticia;Amazonas
32203PH81A;52110;Buesaco;Nariño
99321PL76A;54001;Cucuta;Norte de santander
21101PS21A;5001;Medellin;Antioquia
45336PE72A;52540;Policarpa;Nariño
111269PE71C;97001;Mitu;Vaupes
27370PD36A;91001;Leticia;Amazonas
16578PJ98A;50683;San juan de arama;Meta
15508PP73A;70001;Sincelejo;Sucre
70375PP31B;18001;Florencia;Caqueta
42989PH30A;52001;Pasto;Nariño
87173PC97B;52411;Linares;Nariño
10821PS18A;76001;Cali;Valle del cauca
6920PM14A;52356;Ipiales;Nariño
59732PQ53A;52203;Colon;Nariño
25520PA25A;54003;Abrego;Norte de santander
102412PK74A;95001;San jose del guaviare;Guaviare
111793PO37A;50006;Acacias;Meta
40033PE49A;54001;Cucuta;Norte de santander
79647PA13A;52480;Nariño;Nariño
103110PB55A;52435;Mallama;Nariño
14570PM35A;50001;Villavicencio;Meta
9289PJ89A;97001;Mitu;Vaupes
29038PN25A;52051;Arboleda;Nariño
11761PO70A;8001;Barranquilla;Atlantico
14652PT75A;52385;La llanada;Nariño
82269PK73C;52381;La florida;Nariño
89533PR43A;52051;Arboleda;Nariño
43951PG39A;20001;Valledupar;Cesar
2429PC18A;52323;Gualmatan;Nariño
78719PT22B;23001;Monteria;Cordoba
27782PJ39A;52207;Consaca;Nariño
79934PS46A;52381;La florida;Nariño
9560PC71A;54003;Abrego;Norte de santander
27352PQ88A;13006;Achi;Bolivar
83649PM91A;27001;Quibdo;Choco
50212PP80A;54001;Cucuta;Norte de santander
100741PL37A;91001;Leticia;Amazonas
59128PG67B;52418;Los andes;Nariño
62832PC24B;13006;Achi;Bolivar
101432PI52A;73001;Ibague;Tolima
15587PM45A;17001;Manizales;Caldas
79875PQ26A;8001;Barranquilla;Atlantico
21021PI98B;50006;Acacias;Meta
3638PR90A;52110;Buesaco;Nariño
21818PR78A;50001;Villavicencio;Meta
16293PE88B;18001;Florencia;Caqueta
13859PK26A;54003;Abrego;Norte de santander
80218PE66A;52378;La cruz;Nariño
63482PQ21B;66001;Pereira;Risaralda
107421PJ20A;70001;Sincelejo;Sucre
55887PR66A;97001;Mitu;Vaupes
82484PM29A;76001;Cali;Valle del cauca
30350PS94A;52203;Colon;Nariño
49633PT53A;52381;La florida;Nariño
811PQ79A;52490;Olaya herrera;Nariño
39675PR47A;17001;Manizales;Caldas
29449PI71A;94001;Inirida;Guainia
81210PD26A;52356;Ipiales;Nariño
41915PB47A;52323;Gualmatan;Nariño
74536PL69A;68001;Bucaramanga;Santander
78676PD92A;17001;Manizales;Caldas
11399PP99A;5001;Medellin;Antioquia
52495PT32A;70001;Sincelejo;Sucre
26301PQ60A;13006;Achi;Bolivar
505PT42A;52210;Contadero;Nariño
1427PC44A;23001;Monteria;Cordoba
107252PG50A;19001;Popayan;Cauca
55031PA51A;52323;Gualmatan;Nariño
17716PN79A;52356;Ipiales;Nariño
86961PR16A;85001;Yopal;Casanare
108498PH82D;13006;Achi;Bolivar
26506PD54A;52427;Magui;Nariño
41817PM10A;52480;Nariño;Nariño
40441PL44A;52323;Gualmatan;Nariño
70729PB97A;66001;Pereira;Risaralda
29426PQ70A;52540;Policarpa;Nariño
104228PE12A;13006;Achi;Bolivar
50236PM23A;54001;Cucuta;Norte de santander
16930PQ88A;52405;Leiva;Nariño
72985PR44A;52480;Nariño;Nariño
53525PB54A;50006;Acacias;Meta
2561PS21A;52418;Los andes;Nariño
97718PT54A;25001;Agua de dios;Cundinamarca
27073PC47A;50001;Villavicencio;Meta
59201PA65A;47001;Santa marta;Magdalena
105787PE21A;52381;La florida;Nariño
85405PK17A;11001;Bogota d.c.;Bogota d.c.
24450PR28A;23001;Monteria;Cordoba
49833PT44A;13006;Achi;Bolivar
54261PM15A;52473;Mosquera;Nariño
103738PL68A;52323;Gualmatan;Nariño
44928PB19A;52490;Olaya herrera;Nariño
12547PM55A;50006;Acacias;Meta
107663PJ30A;50686;San juanito;Meta
73728PI73A;52051;Arboleda;Nariño
45603PE45A;5002;Abejorral;Antioquia
40121PH23A;50683;San juan de arama;Meta
41471PL34A;50006;Acacias;Meta
55144PK35A;52083;Belen;Nariño
96426PS58A;52083;Belen;Nariño
91313PG24A;50001;Villavicencio;Meta
83332PR51A;52490;Olaya herrera;Nariño
75240PO36A;52565;Providencia;Nariño
69623PL90A;52210;Contadero;Nariño
81248PH17A;50001;Villavicencio;Meta
99097PI13A;52381;La florida;Nariño
109916PI58A;50006;Acacias;Meta
57PR49A;17001;Manizales;Caldas
18023PI71A;70001;Sincelejo;Sucre
78167PL60A;19001;Popayan;Cauca
60767PQ43A;76001;Cali;Valle del cauca
70562PS25A;52480;Nariño;Nariño
65039PA58B;54003;Abrego;Norte de santander
5942PE50A;52001;Pasto;Nariño
15153PN91A;50686;San juanito;Meta
1125PO82A;27001;Quibdo;Choco
89153PR26A;76001;Cali;Valle del cauca
66364PN66A;52210;Contadero;Nariño
15213PT33A;52110;Buesaco;Nariño
21135PG81B;52210;Contadero;Nariño
88496PI13A;52565;Providencia;Nariño
53326PR47A;50006;Acacias;Meta
30926PE59A;52427;Magui;Nariño
4584PK63A;52210;Contadero;Nariño
67669PB39A;66001;Pereira;Risaralda
92161PB73A;52411;Linares;Nariño
78327PO79A;76001;Cali;Valle del cauca
54987PC11A;50001;Villavicencio;Meta
74508PM50A;52435;Mallama;Nariño
86303PN18A;50686;San juanito;Meta
72285PR63A;52411;Linares;Nariño
51873PD17A;52356;Ipiales;Nariño
2839PE11A;85001;Yopal;Casanare
52183PO12A;11001;Bogota d.c.;Bogota d.c.
108633PO15A;19001;Popayan;Cauca
75884PE84A;54003;Abrego;Norte de santander
54298PI49A;52560;Potosi;Nariño
65041PO13D;50006;Acacias;Meta
105279PH83A;5002;Abejorral;Antioquia
18051PG31A;52385;La llanada;Nariño
34993PS42A;52540;Policarpa;Nariño
90134PG66A;15001;Tunja;Boyaca
6641PH81A;52480;Nariño;Nariño
50011PA80A;52001;Pasto;Nariño
36380PQ59A;23001;Monteria;Cordoba
16805PB60A;50686;San juanito;Meta
5291PQ69A;52323;Gualmatan;Nariño
37570PF65A;52427;Magui;Nariño
69090PM90A;17001;Manizales;Caldas
49907PP32A;95001;San jose del guaviare;Guaviare
46510PM78A;17001;Manizales;Caldas
39258PT27A;52323;Gualmatan;Nariño
49853PB18A;97001;Mitu;Vaupes
34954PS54A;52207;Consaca;Nariño
33380PD75A;66001;Pereira;Risaralda
111030PB14A;81001;Arauca;Arauca
104575PJ31A;85001;Yopal;Casanare
1305PM77A;50001;Villavicencio;Meta
76229PA81A;50006;Acacias;Meta
111046PE86A;52110;Buesaco;Nariño
50492PS20A;52480;Nariño;Nariño
47546PE14A;52480;Nariño;Nariño
110465PQ29A;52560;Potosi;Nariño
51488PQ72B;52381;La florida;Nariño
98648PH77A;50001;Villavicencio;Meta
