orden_id;order_item_id;producto_id;vendedor_id;fecha_envio_limite;precio;valor_flete;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto
31722PQ28A;A;PQ28;VE1307;27/10/2017 10:16;160.67;18.15;Lácteos;3;31;21;4122;35;6;15
97835PG82A;A;PG82;VE3549;12/12/2017 1:44;108.62;8.13;Salud;24;37;13;6010;17;27;4
57049PH12A;A;PH12;VE8695;01/05/2018 15:03;65.88;1.09;Bebés ;25;11;16;1447;43;31;11
28771PG58B;B;PG58;VE6495;08/04/2018 20:52;441;39.06;Salud;1;12;8;2056;26;10;17
101535PL56A;A;PL56;VE2992;06/06/2018 10:37;28.24;35.38;Libros;17;30;9;3498;32;7;26
14190PE34B;B;PE34;VE5229;06/10/2017 2:05;66.85;7.5;Tecnología;8;27;24;1190;12;14;10
59688PL29A;A;PL29;VE1206;27/01/2018 21:25;153.3;3;Libros;34;17;39;223;40;14;47
18711PR42A;A;PR42;VE4446;07/03/2018 23:29;112.92;27.48;Frutas y verduras;39;3;2;551;16;15;37
59516PR48A;A;PR48;VE6646;10/09/2017 2:57;42.29;4.51;Frutas y verduras;7;14;27;2048;38;12;5
99699PJ18A;A;PJ18;VE6668;21/05/2018 7:42;197.42;8.45;Mascotas;34;19;35;324;20;4;18
65961PC58A;A;PC58;VE1558;10/09/2017 11:07;21.69;82.84;Ropa infantil;5;13;14;6509;28;13;27
60636PO28B;B;PO28;VE5422;24/03/2018 10:19;74.3;3.73;Productos ecoamigables;16;27;8;1554;54;10;23
101819PS42A;A;PS42;VE1830;15/02/2018 1:12;372.17;24.17;Carnicería;4;14;37;48;4;27;41
32838PH53A;A;PH53;VE6781;09/08/2017 12:41;80.01;28.7;Bebés ;24;10;11;2837;14;27;35
79083PA85A;A;PA85;VE2129;11/02/2018 16:25;202.89;0.54;Electrodomésticos;17;4;8;853;32;26;1
11084PN35A;A;PN35;VE8494;12/11/2017 9:43;7.24;3.04;Dormitorio;26;22;18;464;20;36;17
112631PL67A;A;PL67;VE8455;12/12/2017 19:23;11.33;17.85;Libros;28;40;21;4408;33;12;31
106083PD37A;A;PD37;VE4333;20/12/2017 1:06;119.48;47.76;Celulares;4;39;7;842;27;9;20
13620PH46A;A;PH46;VE6646;28/02/2018 19:05;132.24;15.97;Bebés ;0;30;25;1194;20;4;25
39710PJ27A;A;PJ27;VE7882;05/08/2017 14:35;97.72;10.04;Mascotas;38;36;17;475;29;44;12
22657PM62B;B;PM62;VE6289;14/06/2018 1:09;383.83;7.21;Ferretería;14;30;16;1297;40;11;5
44026PM52A;A;PM52;VE9946;26/08/2017 2:28;35.71;24.04;Ferretería;28;31;4;139;6;10;31
94841PG29A;A;PG29;VE8544;03/03/2018 1:17;132.76;18.34;Salud;13;4;18;1080;14;8;23
20712PR55A;A;PR55;VE3087;02/04/2018 13:24;96.72;23.74;Frutas y verduras;30;29;2;1232;67;22;22
77709PC73A;A;PC73;VE6107;27/11/2017 7:55;286.33;8.37;Ropa infantil;13;21;40;1992;30;21;25
30251PA90A;A;PA90;VE5681;28/12/2017 15:42;131.08;37.93;Electrodomésticos;23;2;6;1243;44;22;11
40067PH40B;B;PH40;VE3768;14/12/2017 11:40;56.41;26.75;Bebés ;25;16;35;3941;51;22;2
84852PD31A;A;PD31;VE5068;17/10/2017 23:10;190.15;17.17;Celulares;2;14;0;1492;31;12;41
70638PP11A;A;PP11;VE5090;28/10/2017 11:56;358.63;8.28;Licor;2;14;15;12005;54;30;6
2727PB85A;A;PB85;VE8575;06/12/2017 15:09;23.93;59.58;Ropa de adultos;2;39;40;564;36;9;29
17866PF51A;A;PF51;VE2068;22/12/2017 11:11;6.8;16.4;Muebles;13;28;30;2084;29;11;0
35573PE33A;A;PE33;VE2926;16/12/2017 15:19;270.91;12.81;Tecnología;6;37;5;1428;37;11;15
12330PB85A;A;PB85;VE4454;23/12/2017 10:24;153.66;2.15;Ropa de adultos;15;24;40;2314;17;12;17
34609PG93B;B;PG93;VE3880;29/05/2018 4:32;3.52;79.6;Salud;26;17;24;730;30;28;41
105130PL58A;A;PL58;VE3215;26/10/2017 0:47;556.56;46.84;Libros;7;6;11;197;44;3;39
55899PG62A;A;PG62;VE9912;03/11/2017 17:19;38.72;7.37;Salud;38;39;27;23;27;14;30
90961PK17A;A;PK17;VE2233;07/02/2018 1:56;88.84;44.68;Deportes;1;40;34;2840;34;25;30
16420PO64B;B;PO64;VE5595;31/08/2017 11:08;197.59;5.57;Productos ecoamigables;14;3;12;3464;28;26;25
27886PR86A;A;PR86;VE6107;06/02/2018 2:34;54.42;34.42;Frutas y verduras;31;17;22;4012;53;1;25
90031PN38A;A;PN38;VE4813;23/05/2018 9:33;106.96;8.11;Dormitorio;33;37;13;8197;14;26;24
84786PQ93A;A;PQ93;VE8511;26/04/2018 16:08;44.11;38.31;Lácteos;1;3;34;2048;24;32;17
71316PJ17A;A;PJ17;VE8575;08/03/2018 18:41;92.22;6.89;Mascotas;4;31;6;710;16;7;23
74333PH70A;A;PH70;VE3840;03/04/2018 11:53;70.08;1.32;Bebés ;18;19;37;3627;55;6;20
66566PS58A;A;PS58;VE7866;10/12/2017 6:50;143.14;5.03;Carnicería;4;34;9;1170;21;11;39
101653PA98A;A;PA98;VE6294;11/06/2018 19:52;149.14;24.84;Electrodomésticos;15;34;10;2926;15;1;11
32482PB40A;A;PB40;VE6406;30/11/2017 11:39;7.71;1.12;Ropa de adultos;23;28;17;8201;36;11;15
53171PH57A;A;PH57;VE9159;12/02/2018 22:56;154.91;8.22;Bebés ;6;32;11;697;18;6;14
70541PO75B;B;PO75;VE3791;13/02/2018 21:21;163.19;18.94;Productos ecoamigables;10;22;12;2712;39;41;29
53611PJ57A;A;PJ57;VE1019;01/05/2018 21:48;42.6;5.04;Mascotas;27;40;25;2538;38;4;14
25533PP49A;A;PP49;VE3791;01/05/2018 5:06;83.23;6.09;Licor;9;19;19;1778;43;20;43
84949PT74A;A;PT74;VE9159;26/08/2017 3:27;5.11;1.54;Tarjetas regalo;40;39;2;554;13;24;22
31678PA68B;B;PA68;VE2992;01/11/2017 20:08;102.73;28.39;Electrodomésticos;16;33;2;1471;46;29;4
19864PG61A;A;PG61;VE8782;27/04/2018 19:20;248.47;8.32;Salud;18;28;5;2744;36;21;28
101309PT60A;A;PT60;VE8917;06/01/2018 1:59;179.59;11.66;Tarjetas regalo;26;25;33;179;35;0;20
112280PH13A;A;PH13;VE2233;29/07/2017 23:57;185.91;50.44;Bebés ;23;26;0;1011;29;32;34
29202PM33A;A;PM33;VE9946;29/12/2017 17:49;164.64;0.15;Ferretería;1;21;5;2092;41;16;12
75717PE24A;A;PE24;VE4333;22/05/2018 17:49;28.77;3.35;Tecnología;7;29;4;2760;9;10;36
92783PO92B;B;PO92;VE4446;13/03/2018 3:01;108.51;10.97;Productos ecoamigables;23;10;15;2445;60;18;36
77899PK55A;A;PK55;VE3210;01/04/2018 11:46;82.35;40.32;Deportes;10;12;6;54;36;25;15
276PI40A;A;PI40;VE1307;25/01/2018 15:38;190.56;15.65;Juguetes;36;4;37;52;12;28;36
101914PB87C;C;PB87;VE3295;30/07/2017 8:25;22.36;21.58;Ropa de adultos;31;9;12;698;23;24;23
24496PR72A;A;PR72;VE4489;20/03/2018 21:49;74.31;27.1;Frutas y verduras;36;29;13;3303;42;26;34
54585PJ45A;A;PJ45;VE5049;17/05/2018 10:27;7.84;3.18;Mascotas;15;37;25;1568;36;16;43
68368PJ44A;A;PJ44;VE3791;02/09/2017 1:08;159.45;6.4;Mascotas;30;2;6;285;16;7;20
88047PJ20A;A;PJ20;VE6106;11/08/2017 21:47;385.02;24.5;Mascotas;40;9;0;1697;9;4;21
10049PI63D;D;PI63;VE5389;09/12/2017 8:37;7.54;22.4;Juguetes;11;28;35;228;47;5;10
66034PB80A;A;PB80;VE3768;13/09/2017 2:28;60.36;16.41;Ropa de adultos;22;3;13;112;5;35;31
41854PC59B;B;PC59;VE8511;23/10/2017 11:42;6.88;26.03;Ropa infantil;30;9;30;824;31;28;56
67093PA31A;A;PA31;VE5090;16/09/2017 6:41;35.93;63.19;Electrodomésticos;2;18;39;960;54;24;31
10902PD16B;B;PD16;VE2302;20/04/2018 13:30;2.98;1.66;Celulares;16;19;7;6299;8;17;0
70494PQ83A;A;PQ83;VE2305;12/05/2018 8:39;7.65;3.44;Lácteos;15;28;18;210;8;5;12
40178PA77A;A;PA77;VE1204;17/09/2017 11:06;199.47;31.66;Electrodomésticos;24;34;16;2693;50;31;19
44334PH42C;C;PH42;VE4481;03/11/2017 12:50;30.98;25.61;Bebés ;34;13;18;193;40;14;21
93972PM63D;D;PM63;VE8568;09/09/2017 4:26;110.92;21.76;Ferretería;17;23;14;373;33;3;22
78363PH86A;A;PH86;VE2501;25/12/2017 11:18;75.45;12.9;Bebés ;32;33;5;1592;14;16;41
82304PQ67A;A;PQ67;VE5149;26/05/2018 5:26;91.13;1.36;Lácteos;2;16;29;379;46;7;1
60988PC93D;D;PC93;VE5993;26/09/2017 13:33;244.52;30.29;Ropa infantil;30;38;11;1298;20;4;32
56795PL83A;A;PL83;VE5049;11/08/2017 12:58;12.32;22.16;Libros;16;6;23;5258;3;12;22
24098PJ94A;A;PJ94;VE3858;20/03/2018 15:53;124.09;26.26;Mascotas;31;0;37;2179;44;31;26
74350PJ58B;B;PJ58;VE5192;26/08/2017 13:38;5.79;29.82;Mascotas;11;1;26;7026;41;25;4
13150PF42A;A;PF42;VE5738;06/06/2018 10:55;39.37;41.23;Muebles;23;6;34;2685;40;11;7
65221PN34A;A;PN34;VE5993;11/01/2018 14:50;361.02;4.92;Dormitorio;39;3;38;303;20;20;32
107055PF10A;A;PF10;VE8544;31/05/2018 23:27;287.48;7.74;Muebles;10;9;7;550;5;30;21
25024PD21A;A;PD21;VE5979;01/12/2017 22:59;221.01;7.89;Celulares;5;27;38;3802;37;8;7
79021PQ66A;A;PQ66;VE6936;11/02/2018 3:19;169.36;10.87;Lácteos;8;30;22;2382;48;23;18
72965PS14A;A;PS14;VE9946;28/08/2017 4:40;82.83;4.58;Carnicería;10;34;21;1503;51;21;32
19704PI40A;A;PI40;VE3955;13/06/2018 4:16;95.1;13.98;Juguetes;10;28;12;381;29;29;31
7287PQ60A;A;PQ60;VE3087;18/01/2018 22:57;103.88;13.24;Lácteos;1;36;23;3204;1;14;38
58125PD16A;A;PD16;VE7281;06/02/2018 5:52;99.98;4.27;Celulares;1;26;39;897;2;9;14
63592PF60A;A;PF60;VE1340;24/11/2017 15:45;13.94;33.53;Muebles;29;12;32;2361;4;6;30
85054PN65C;C;PN65;VE9946;09/10/2017 12:48;45.19;27.58;Dormitorio;7;36;0;5213;52;17;32
91864PG54D;D;PG54;VE3199;21/09/2017 8:07;92.83;1.32;Salud;37;30;4;4945;28;18;30
82378PS32A;A;PS32;VE8338;26/03/2018 17:14;237.42;17.2;Carnicería;8;6;36;4491;38;32;2
38596PE42A;A;PE42;VE8575;24/02/2018 13:23;70.39;8.43;Tecnología;37;20;17;792;24;18;34
18072PF60C;C;PF60;VE2114;14/05/2018 2:25;49.99;25.33;Muebles;6;38;11;3967;34;27;35
2954PA79A;A;PA79;VE9864;22/02/2018 0:44;153.56;53.43;Electrodomésticos;40;2;10;1881;56;21;29
38966PA15A;A;PA15;VE3549;12/09/2017 16:13;80.29;1.69;Electrodomésticos;15;26;21;473;21;16;22
31360PF54A;A;PF54;VE3768;24/11/2017 21:20;49.68;25.89;Muebles;23;39;24;4906;1;26;44
85165PI62A;A;PI62;VE4481;07/10/2017 21:26;181.08;23.29;Juguetes;37;35;27;3644;26;15;2
70243PB60B;B;PB60;VE8325;30/09/2017 0:58;185.21;9.6;Ropa de adultos;26;23;31;136;66;22;51
63373PC99A;A;PC99;VE5389;17/10/2017 6:55;448.58;6.89;Ropa infantil;40;29;12;2329;45;2;18
39576PB13C;C;PB13;VE7925;07/09/2017 11:54;154.82;23.28;Ropa de adultos;33;0;33;1375;22;6;32
111301PF27A;A;PF27;VE8455;27/09/2017 11:17;238.63;9.06;Muebles;25;20;35;764;37;46;25
58867PC78A;A;PC78;VE2456;03/10/2017 5:44;2.29;12.38;Ropa infantil;2;17;26;2683;10;14;34
65128PO15A;A;PO15;VE9434;11/03/2018 9:14;66.53;3.81;Productos ecoamigables;4;24;1;1474;31;16;15
13755PL72A;A;PL72;VE7211;23/07/2017 10:15;38.08;18.6;Libros;39;10;10;1298;48;51;20
698PP42A;A;PP42;VE7066;07/12/2017 14:47;40.52;9.22;Licor;32;20;17;4538;78;51;12
106254PS35A;A;PS35;VE3276;11/10/2017 6:15;56.16;17.23;Carnicería;39;34;28;3666;25;36;29
21027PQ42A;A;PQ42;VE5445;04/02/2018 5:15;34.53;33.63;Lácteos;36;1;6;753;8;15;16
38655PO70B;B;PO70;VE2056;23/11/2017 4:08;155.17;18.61;Productos ecoamigables;34;40;9;5549;16;27;27
33796PQ95A;A;PQ95;VE3840;26/03/2018 22:56;221.16;11.33;Lácteos;10;18;35;2021;12;13;23
75860PR53A;A;PR53;VE3791;28/05/2018 22:49;242.22;0.65;Frutas y verduras;27;40;27;804;39;13;29
68733PN90A;A;PN90;VE2941;05/02/2018 2:37;17.73;41.64;Dormitorio;13;17;32;173;30;15;38
101678PM44C;C;PM44;VE4819;16/12/2017 15:05;12.74;10.17;Ferretería;22;11;24;1689;61;2;15
85225PR49A;A;PR49;VE6571;17/07/2017 18:14;55.56;35.23;Frutas y verduras;37;26;19;1025;24;17;22
67408PE41B;B;PE41;VE8975;21/03/2018 11:50;42.88;6.38;Tecnología;11;5;12;407;26;4;41
110287PR84B;B;PR84;VE3087;14/01/2018 12:56;57.44;27.29;Frutas y verduras;30;31;8;2486;17;23;36
107056PS52A;A;PS52;VE3210;11/08/2017 13:13;117.51;7.94;Carnicería;21;22;28;3473;52;8;21
58767PS40A;A;PS40;VE1175;06/11/2017 21:06;220.91;8.18;Carnicería;36;2;2;3510;22;5;20
77193PA95A;A;PA95;VE5090;30/01/2018 2:22;52.33;16.04;Electrodomésticos;23;28;34;1573;34;28;33
20801PF45A;A;PF45;VE6608;13/05/2018 4:03;201.26;3.53;Muebles;14;39;24;476;36;27;25
48679PI14B;B;PI14;VE2233;04/06/2018 10:48;74.95;10.19;Juguetes;19;11;5;2052;27;8;31
60691PJ11A;A;PJ11;VE2302;12/12/2017 5:34;22.66;12.53;Mascotas;8;7;19;298;21;2;32
68201PT23B;B;PT23;VE6535;12/05/2018 5:35;112.11;4.84;Tarjetas regalo;36;22;0;3120;8;24;28
657PF77B;B;PF77;VE4333;29/08/2017 3:54;203.84;8.81;Muebles;22;38;7;1847;2;11;12
98475PC50G;G;PC50;VE3276;24/07/2017 8:10;164.16;40.5;Ropa infantil;20;34;31;706;29;27;34
104918PL78B;B;PL78;VE5109;26/06/2018 2:19;26.11;0.84;Libros;25;19;24;462;5;7;29
63188PJ16A;A;PJ16;VE1309;14/08/2017 12:31;9.68;26.69;Mascotas;4;9;20;533;59;2;4
92934PF73A;A;PF73;VE2992;22/12/2017 13:59;312.84;5.35;Muebles;19;20;4;2542;43;12;33
68371PK90A;A;PK90;VE3215;18/06/2018 11:56;222.95;42.88;Deportes;17;37;14;3921;44;23;4
86477PN43A;A;PN43;VE7338;13/06/2018 0:20;25.39;11.54;Dormitorio;19;33;23;1213;41;22;18
88179PN13A;A;PN13;VE3858;11/08/2017 8:28;153.6;43.95;Dormitorio;9;36;25;2056;5;9;31
93238PI34B;B;PI34;VE8494;05/05/2018 1:01;29.19;21.04;Juguetes;10;10;0;309;52;17;6
108135PC64A;A;PC64;VE6646;24/09/2017 19:12;16.09;7.88;Ropa infantil;36;0;22;5478;19;10;15
99671PI48A;A;PI48;VE1558;05/02/2018 10:22;133.13;19.46;Juguetes;21;6;37;994;20;25;20
10266PF93A;A;PF93;VE5229;02/12/2017 22:31;0.48;34.78;Muebles;29;20;1;378;16;8;11
24669PR77A;A;PR77;VE3292;27/03/2018 23:54;53.06;43.39;Frutas y verduras;20;32;9;5925;39;21;31
85325PB95A;A;PB95;VE4277;24/02/2018 0:48;315.73;10.18;Ropa de adultos;27;1;36;2814;43;16;16
53630PS75B;B;PS75;VE8325;16/02/2018 23:23;219.93;115.11;Carnicería;34;5;37;1935;14;9;26
95680PI31A;A;PI31;VE6108;31/01/2018 3:15;98.38;5.56;Juguetes;35;0;5;4647;55;45;34
34191PN20A;A;PN20;VE1558;18/11/2017 10:41;39.26;13.16;Dormitorio;8;2;15;1815;26;41;8
65870PN51C;C;PN51;VE6856;14/07/2017 16:14;177.85;20.67;Dormitorio;9;3;33;444;22;19;15
99941PK39A;A;PK39;VE7125;21/10/2017 22:00;383.17;8.09;Deportes;12;26;22;4972;36;11;10
43658PM80A;A;PM80;VE1558;09/06/2018 4:14;276.55;1.07;Ferretería;15;29;37;400;42;12;31
90104PK95A;A;PK95;VE6180;27/05/2018 1:54;180.5;12.74;Deportes;24;11;7;440;34;24;19
56229PR58A;A;PR58;VE4580;16/03/2018 23:10;218.68;10.21;Frutas y verduras;32;4;27;1316;43;24;38
48710PM87A;A;PM87;VE1492;04/05/2018 17:25;82.88;156.65;Ferretería;3;30;9;335;33;9;18
63222PH61A;A;PH61;VE6608;24/03/2018 19:30;45.57;3.66;Bebés ;14;2;11;1511;28;11;10
73822PH99A;A;PH99;VE6108;16/02/2018 11:27;11.81;22.26;Bebés ;19;36;12;1907;24;5;31
14024PT93A;A;PT93;VE1206;28/05/2018 1:01;26.91;22.49;Tarjetas regalo;36;19;25;3729;12;18;30
44515PN33A;A;PN33;VE1558;26/02/2018 19:35;619.87;14.64;Dormitorio;37;17;27;811;49;4;35
97852PQ91A;A;PQ91;VE9186;19/05/2018 15:50;11.47;20.22;Lácteos;8;37;24;1917;32;20;23
74516PI20C;C;PI20;VE2715;19/07/2017 17:29;168.83;39.23;Juguetes;17;18;23;550;6;3;27
39363PO16A;A;PO16;VE8942;04/08/2017 21:56;40.81;16.05;Productos ecoamigables;19;0;3;361;14;23;21
9634PQ90A;A;PQ90;VE7338;03/01/2018 15:51;266.35;18.47;Lácteos;3;17;26;3137;43;33;23
28715PM15A;A;PM15;VE2114;20/02/2018 16:41;8.41;8.45;Ferretería;12;20;28;4000;15;10;1
59978PI20A;A;PI20;VE1988;18/03/2018 10:23;151.44;42.18;Juguetes;11;13;40;184;30;13;20
1750PR93A;A;PR93;VE9159;24/02/2018 2:13;52.31;13.97;Frutas y verduras;1;32;21;3139;32;6;37
82496PS85B;B;PS85;VE9946;23/11/2017 16:17;17.42;4.03;Carnicería;3;30;29;1316;29;35;37
18077PR86A;A;PR86;VE3215;16/04/2018 10:39;90.71;14.17;Frutas y verduras;29;33;29;91;19;27;38
95190PP37B;B;PP37;VE6936;18/11/2017 4:34;6.9;6.93;Licor;21;25;33;5365;28;24;19
22505PF43A;A;PF43;VE3342;22/07/2017 13:34;503.98;54.12;Muebles;9;13;26;3514;38;9;38
49452PG32A;A;PG32;VE7882;20/02/2018 23:11;32.82;36.11;Salud;20;21;2;787;38;21;29
4886PO33A;A;PO33;VE5149;17/04/2018 4:17;27.73;49.99;Productos ecoamigables;30;40;29;1121;51;5;11
36773PG74A;A;PG74;VE4179;09/05/2018 11:30;36.55;13.69;Salud;16;38;38;1407;15;26;25
3998PB25A;A;PB25;VE8568;25/09/2017 11:34;282.62;1.83;Ropa de adultos;24;25;15;31;48;26;20
48269PP31A;A;PP31;VE8917;16/02/2018 9:41;147.46;14.09;Licor;25;10;14;1276;53;29;37
104353PH85A;A;PH85;VE6294;06/04/2018 23:26;84.8;5.81;Bebés ;7;32;38;1919;22;6;22
47422PN93A;A;PN93;VE7125;24/12/2017 2:02;248.18;25.01;Dormitorio;26;34;16;500;35;38;26
5154PH39C;C;PH39;VE8613;13/11/2017 5:07;116.77;5.74;Bebés ;18;40;29;4388;53;14;12
41539PG15A;A;PG15;VE5422;26/07/2017 23:48;36.74;23.8;Salud;3;13;11;7046;21;20;41
69548PJ53A;A;PJ53;VE6936;03/04/2018 18:15;17.34;1.88;Mascotas;26;38;3;309;27;12;23
1575PM57A;A;PM57;VE4502;27/09/2017 19:20;104.02;0.16;Ferretería;34;23;39;2988;15;35;30
76753PG35A;A;PG35;VE4052;05/01/2018 20:03;74.64;8.45;Salud;21;31;34;37;40;17;50
57925PL57B;B;PL57;VE2738;17/05/2018 21:19;627.72;90.77;Libros;24;10;7;1182;57;22;13
24031PG20A;A;PG20;VE6535;26/12/2017 13:36;17.81;29.93;Salud;35;8;2;380;45;33;29
91456PS96A;A;PS96;VE6781;15/09/2017 1:14;199.86;97.55;Carnicería;38;36;14;2275;31;7;29
13193PI68A;A;PI68;VE7406;20/11/2017 16:11;16.75;15.95;Juguetes;21;9;34;7071;38;8;7
89428PS16A;A;PS16;VE7281;18/09/2017 2:34;23.63;13.37;Carnicería;32;6;36;4732;34;19;15
61136PJ97A;A;PJ97;VE3806;15/07/2017 14:59;75.96;33.87;Mascotas;3;7;12;62;25;35;10
53045PT45A;A;PT45;VE3840;09/11/2017 3:07;52.7;8.86;Tarjetas regalo;24;39;0;2742;17;32;29
9038PG21A;A;PG21;VE7147;17/10/2017 21:31;201.93;14.86;Salud;20;20;6;1365;16;6;2
71740PP62A;A;PP62;VE6294;04/05/2018 1:03;20.49;10.36;Licor;36;13;12;178;25;5;15
85017PN57B;B;PN57;VE5993;05/05/2018 19:08;36.08;25.47;Dormitorio;9;33;39;352;16;22;24
93083PH34A;A;PH34;VE3159;03/06/2018 11:40;86.19;37.96;Bebés ;21;1;40;1993;32;9;26
52031PM58A;A;PM58;VE3210;20/11/2017 19:12;98.68;26.3;Ferretería;37;5;12;2797;23;7;47
103717PJ56A;A;PJ56;VE7885;09/05/2018 6:59;234.09;56.63;Mascotas;9;15;8;1728;51;2;47
41230PC23A;A;PC23;VE7406;22/06/2018 22:47;91.28;1.74;Ropa infantil;36;35;7;488;30;44;19
68193PQ36A;A;PQ36;VE8511;06/11/2017 16:41;19.95;5.11;Lácteos;14;11;34;6702;11;9;30
59809PK39A;A;PK39;VE3806;29/12/2017 0:40;140.85;39.96;Deportes;10;37;33;3054;38;17;35
50125PB97A;A;PB97;VE3342;10/01/2018 5:17;110.81;18.5;Ropa de adultos;5;38;29;96;13;24;37
10001PS79A;A;PS79;VE8455;21/01/2018 11:45;21.84;0.67;Carnicería;8;17;38;3544;7;1;25
65005PA45A;A;PA45;VE3199;15/07/2017 20:59;24.21;20.86;Electrodomésticos;11;39;15;119;44;32;45
86648PM15A;A;PM15;VE5389;12/05/2018 17:48;50.36;16.92;Ferretería;3;1;6;1149;19;23;32
109379PP20A;A;PP20;VE7125;24/02/2018 2:34;121.09;13.82;Licor;8;8;34;970;22;14;20
98251PE15A;A;PE15;VE1492;19/06/2018 11:22;76.99;17.75;Tecnología;7;28;5;2527;55;28;43
44081PJ86A;A;PJ86;VE8338;22/11/2017 15:51;51.97;26.38;Mascotas;11;14;5;160;47;3;14
108818PQ73A;A;PQ73;VE3858;16/01/2018 7:06;164.23;6.86;Lácteos;30;23;31;4719;37;34;20
60947PD53A;A;PD53;VE2561;26/07/2017 4:22;174.96;0.09;Celulares;17;40;1;222;32;23;22
87983PT13A;A;PT13;VE7016;05/10/2017 6:25;100.23;0.64;Tarjetas regalo;9;25;36;1168;36;6;34
61602PB76A;A;PB76;VE8568;22/01/2018 11:30;338.38;3.28;Ropa de adultos;10;39;0;616;26;24;23
3190PK51A;A;PK51;VE4502;14/05/2018 14:02;12.98;22.15;Deportes;38;35;31;8125;6;29;29
23008PM78A;A;PM78;VE2012;28/11/2017 21:25;171.02;5.08;Ferretería;23;29;11;3054;42;26;39
41580PJ74A;A;PJ74;VE4436;23/08/2017 10:58;34.75;1.2;Mascotas;4;13;26;309;33;12;17
101967PG57A;A;PG57;VE4580;13/09/2017 11:26;144.53;31.27;Salud;40;3;24;2471;44;19;10
89680PP55A;A;PP55;VE9170;21/06/2018 20:53;141.77;33.63;Licor;15;35;0;3352;49;34;28
73616PT66A;A;PT66;VE8568;28/05/2018 4:57;229.63;6.83;Tarjetas regalo;18;10;12;2198;18;1;15
42091PS86C;C;PS86;VE8568;27/07/2017 21:25;111.03;16;Carnicería;3;20;27;467;40;1;29
39285PC38A;A;PC38;VE3880;24/05/2018 21:02;31.22;2.16;Ropa infantil;6;35;28;400;31;4;23
39516PS17A;A;PS17;VE4446;11/11/2017 3:48;41.97;0.3;Carnicería;7;35;13;283;41;44;1
69706PJ95A;A;PJ95;VE5588;21/12/2017 4:42;112.5;18.93;Mascotas;30;32;1;1125;21;10;14
18016PB72A;A;PB72;VE3215;13/04/2018 0:07;10.09;71.82;Ropa de adultos;20;36;22;226;49;4;16
29556PK56A;A;PK56;VE5192;15/02/2018 1:38;192.03;14.53;Deportes;25;2;7;323;3;2;13
31180PB40A;A;PB40;VE5389;12/02/2018 10:53;267.56;29.16;Ropa de adultos;3;10;31;4021;24;4;27
98973PK59A;A;PK59;VE3939;23/12/2017 0:55;46.88;8.11;Deportes;10;20;2;2450;32;23;20
